extension,alias,drive_file_id,file_url
csv,commodity_balance_sheet,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Sources%20(proposed%20by%20alvaro)/Model%20inputs/New%20FABIO/commodity_balance_sheet.csv"
csv,bilateral_trade,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Sources%20(proposed%20by%20alvaro)/Model%20inputs/New%20FABIO/bilateral_trade.csv"
csv,processing_coefs,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Sources%20(proposed%20by%20alvaro)/Model%20inputs/New%20FABIO/processing_coefs.csv"
csv,example_cbs_drive,1N6N4DI3PDowKvWwreFbcSe3YwYjV24k9,
rds,n_excretion_ygs,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/N_Excretion_ygs.rds"
rds,n_balance_ygpit_all,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/N_balance_ygpit_all.rds"
xlsx,codes_coefs,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Codes_coefs.xlsx"
csv,npp_ygpit,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/NPP_ygpit.csv.gz"
rds,feed_avail_all,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Feed_avail_all.rds"
rds,crop_area_npp_ygpitr_no_fallow,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Crop_AreaNPP_ygpitr_NoFallow.rds"
rds,crop_area_npp_ygpit_all,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Crop_AreaNPP_ygpit_all.rds"
csv,pie_full_destinies_fm,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/PIE_FullDestinies_FM.csv"
csv,intake_ygiac,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Intake_ygiac.csv.gz"
csv,population_yg,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Population_yg.csv"
csv,livestock_prod_ygps,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Livestock_Prod_ygps.csv"
xlsx,biomass_coefs,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/Biomass_coefs.xlsx"
xlsx,processed_prov_fixed,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/processed_prov_fixed.xlsx"
csv,GRAFS_prod_destiny_git,,"https://saco.csic.es/public.php/dav/files/nrJ3JGPZyZeQMW8/Model%20inputs/GRAFS_spain/GRAFS_Prod_Destiny_git.csv"
